cidade,bairro,org,value
BELFORD ROXO,JARDIM BRASIL,milícia,1
RIO DE JANEIRO,JARDIM BOTÂNICO,facção,1
DUQUE DE CAXIAS,JARDIM BARRO BRANCO,facção,4
DUQUE DE CAXIAS,JARDIM BALNEÁRIO ANA CLARA,facção,1
DUQUE DE CAXIAS,JARDIM BALNEÁRIO ANA CLARA,milícia,1
DUQUE DE CAXIAS,JARDIM ANHANGÁ,facção,2
DUQUE DE CAXIAS,JARDIM ANHANGÁ,milícia,8
ITAGUAÍ,JARDIM AMÉRICA,facção,10
ITAGUAÍ,JARDIM AMÉRICA,milícia,5
RIO DE JANEIRO,JARDIM AMÉRICA,facção,7
QUEIMADOS,JARDIM ALZIRA,facção,2
NOVA IGUAÇU,JARDIM ALVORADA,milícia,10
DUQUE DE CAXIAS,JARDIM 25 DE AGOSTO,milícia,3
JAPERI,JAPERI,facção,5
JAPERI,JAPERI,milícia,2
MESQUITA,JACUTINGA,milícia,2
MARICÁ,JACONÉ,milícia,1
RIO DE JANEIRO,JACAREPAGUÁ,facção,27
RIO DE JANEIRO,JACAREPAGUÁ,milícia,324
RIO DE JANEIRO,JACARÉ,facção,20
RIO DE JANEIRO,JACARÉ,milícia,1
NITERÓI,ITITIOCA,facção,6
SÃO GONÇALO,ITAÚNA,facção,39
MARICÁ,ITAPEBA,facção,1
MARICÁ,ITAPEBA,milícia,3
SÃO GONÇALO,ITAOCA,facção,1
RIO DE JANEIRO,ITANHANGÁ,facção,2
RIO DE JANEIRO,ITANHANGÁ,milícia,51
MARICÁ,ITAIPUAÇU,facção,1
MARICÁ,ITAIPUAÇU,milícia,2
BELFORD ROXO,ITAIPU,milícia,4
NITERÓI,ITAIPU,facção,12
NITERÓI,ITAIPU,milícia,2
MAGÉ,IRIRI,facção,1
RIO DE JANEIRO,IRAJÁ,facção,8
RIO DE JANEIRO,IRAJÁ,milícia,15
MAGÉ,IPIRANGA,facção,1
MAGÉ,IPIRANGA,milícia,1
NOVA IGUAÇU,IPIRANGA,facção,3
NOVA IGUAÇU,IPIRANGA,milícia,20
SÃO GONÇALO,IPIÍBA,facção,4
RIO DE JANEIRO,IPANEMA,facção,1
RIO DE JANEIRO,IPANEMA,milícia,4
MARICÁ,INOÃ,facção,4
MARICÁ,INOÃ,milícia,6
RIO DE JANEIRO,INHOAÍBA,facção,1
RIO DE JANEIRO,INHOAÍBA,milícia,63
RIO DE JANEIRO,INHAÚMA,facção,29
RIO DE JANEIRO,INHAÚMA,milícia,38
NITERÓI,INGÁ,facção,2
DUQUE DE CAXIAS,IMBARIÊ,facção,13
RIO DE JANEIRO,ILHA DE GUARATIBA,milícia,2
ITAGUAÍ,ILHA DA MADEIRA,milícia,4
NITERÓI,ILHA DA CONCEIÇÃO,facção,7
NITERÓI,ILHA DA CONCEIÇÃO,milícia,1
NITERÓI,ICARAÍ,facção,6
NITERÓI,ICARAÍ,milícia,3
RIO DE JANEIRO,HUMAITÁ,milícia,1
RIO DE JANEIRO,HONÓRIO GURGEL,facção,8
RIO DE JANEIRO,HONÓRIO GURGEL,milícia,3
BELFORD ROXO,HITERLAND,facção,14
BELFORD ROXO,HITERLAND,milícia,6
RIO DE JANEIRO,HIGIENÓPOLIS,facção,1
RIO DE JANEIRO,HIGIENÓPOLIS,milícia,3
BELFORD ROXO,HELIÓPOLIS,milícia,6
SÃO GONÇALO,GUAXINDIBA,facção,84
RIO DE JANEIRO,GUARATIBA,milícia,237
RIO DE JANEIRO,GUADALUPE,facção,28
RIO DE JANEIRO,GUADALUPE,milícia,21
RIO DE JANEIRO,GRUMARI,milícia,3
ITABORAÍ,GRANJAS CABUÇU,facção,1
DUQUE DE CAXIAS,GRAMACHO,facção,3
DUQUE DE CAXIAS,GRAMACHO,milícia,4
NOVA IGUAÇU,GRAMA,milícia,8
RIO DE JANEIRO,GRAJAÚ,facção,1
SÃO GONÇALO,GRADIM,facção,15
SÃO GONÇALO,GRADIM,milícia,8
DUQUE DE CAXIAS,GRAÇAS,milícia,1
RIO DE JANEIRO,GLÓRIA,facção,3
RIO DE JANEIRO,GLÓRIA,milícia,1
BELFORD ROXO,GLÁUCIA,facção,14
BELFORD ROXO,GLÁUCIA,milícia,1
BELFORD ROXO,GLAUCIA,facção,1
RIO DE JANEIRO,GERICINÓ,facção,16
RIO DE JANEIRO,GERICINÓ,milícia,41
NOVA IGUAÇU,GENECIANO,facção,1
NOVA IGUAÇU,GENECIANO,milícia,11
ITABORAÍ,GEBARA,facção,3
RIO DE JANEIRO,GÁVEA,facção,10
RIO DE JANEIRO,GARDÊNIA AZUL,milícia,73
RIO DE JANEIRO,GAMBOA,facção,5
SÃO GONÇALO,GALO BRANCO,facção,13
RIO DE JANEIRO,GALEÃO,facção,24
RIO DE JANEIRO,FREGUESIA (JACAREPAGUÁ),facção,21
RIO DE JANEIRO,FREGUESIA (JACAREPAGUÁ),milícia,13
RIO DE JANEIRO,FREGUESIA (ILHA DO GOVERNADOR),facção,6
RIO DE JANEIRO,FREGUESIA (ILHA DO GOVERNADOR),milícia,5
NITERÓI,FONSECA,facção,41
NITERÓI,FONSECA,milícia,1
QUEIMADOS,FLESMAM,milícia,2
MARICÁ,FLAMENGO,milícia,2
RIO DE JANEIRO,FLAMENGO,facção,3
RIO DE JANEIRO,FLAMENGO,milícia,2
NOVA IGUAÇU,FIGUEIRAS,milícia,11
SEROPÉDICA,FAZENDA CAXIAS,milícia,4
RIO DE JANEIRO,FAVELA BEIRA-RIO,milícia,2
NITERÓI,FÁTIMA,facção,2
QUEIMADOS,FANCHEM,facção,1
ITAGUAÍ,ESTRELA DO CÉU,facção,1
ITAGUAÍ,ESTRELA DO CÉU,milícia,2
RIO DE JANEIRO,ESTÁCIO,facção,14
RIO DE JANEIRO,ESTÁCIO,milícia,1
ITABORAÍ,ESPERANÇA,facção,4
NITERÓI,ENGENHOCA,facção,27
NOVA IGUAÇU,ENGENHO PEQUENO,facção,3
NOVA IGUAÇU,ENGENHO PEQUENO,milícia,1
SÃO GONÇALO,ENGENHO PEQUENO,facção,8
SÃO GONÇALO,ENGENHO PEQUENO,milícia,8
RIO DE JANEIRO,ENGENHO NOVO,facção,21
NITERÓI,ENGENHO DO MATO,facção,4
RIO DE JANEIRO,ENGENHO DE DENTRO,facção,12
RIO DE JANEIRO,ENGENHO DE DENTRO,milícia,14
RIO DE JANEIRO,ENGENHO DA RAINHA,facção,55
RIO DE JANEIRO,ENGENHO DA RAINHA,milícia,3
RIO DE JANEIRO,ENGENHO DA  RAINHA,facção,4
ITABORAÍ,ENGENHO,facção,1
ITAGUAÍ,ENGENHO,facção,13
ITAGUAÍ,ENGENHO,milícia,1
JAPERI,ENGENHEIRO PEDREIRA,facção,21
JAPERI,ENGENHEIRO PEDREIRA,milícia,1
SÃO JOÃO DE MERITI,ENGENHEIRO BELFORD,facção,18
RIO DE JANEIRO,ENCANTADO,facção,2
MESQUITA,EDSON PASSOS,facção,13
MESQUITA,EDSON PASSOS,milícia,4
SÃO JOÃO DE MERITI,ÉDEN,facção,75
SÃO JOÃO DE MERITI,ÉDEN,milícia,5
SEROPÉDICA,ECOLOGIA,milícia,1
TANGUÁ,DUQUES,facção,2
TANGUÁ,DUQUES,milícia,1
DUQUE DE CAXIAS,DOUTOR LAUREANO,milícia,3
NOVA IGUAÇU,DOM RODRIGO,milícia,1
BELFORD ROXO,DOIS IRMÃOS,facção,13
RIO DE JANEIRO,DEODORO,facção,21
RIO DE JANEIRO,DEODORO,milícia,6
RIO DE JANEIRO,DEL CASTILHO,facção,15
RIO DE JANEIRO,DEL CASTILHO,milícia,44
BELFORD ROXO,DAS GRAÇAS,facção,14
BELFORD ROXO,DAS GRAÇAS,milícia,3
NOVA IGUAÇU,DANON,facção,36
NOVA IGUAÇU,DANON,milícia,5
NOVA IGUAÇU,DA LUZ,milícia,2
RIO DE JANEIRO,CURICICA,milícia,76
NITERÓI,CUBANGO,facção,8
SÃO GONÇALO,COVANCA,facção,3
RIO DE JANEIRO,COSTA BARROS,facção,51
RIO DE JANEIRO,COSMOS,milícia,61
RIO DE JANEIRO,COSME VELHO,facção,3
JAPERI,COSME DAMIÃO,facção,1
ITAGUAÍ,COROA GRANDE,facção,3
ITAGUAÍ,COROA GRANDE,milícia,30
MESQUITA,CORÉIA,facção,40
MESQUITA,CORÉIA,milícia,1
MESQUITA,COREIA,facção,1
RIO DE JANEIRO,CORDOVIL,facção,75
RIO DE JANEIRO,CORDOVIL,milícia,1
RIO DE JANEIRO,COPACABANA,facção,26
RIO DE JANEIRO,COPACABANA,milícia,4
RIO DE JANEIRO,COMPLEXO DO ALEMÃO,facção,1
NOVA IGUAÇU,COMENDADOR SOARES,facção,6
NOVA IGUAÇU,COMENDADOR SOARES,milícia,17
SÃO GONÇALO,COLUBANDÊ,facção,19
RIO DE JANEIRO,COLÉGIO,facção,3
RIO DE JANEIRO,COLÉGIO,milícia,8
RIO DE JANEIRO,COELHO NETO,facção,13
RIO DE JANEIRO,COELHO NETO,milícia,5
SÃO JOÃO DE MERITI,COELHO DA ROCHA,facção,4
SÃO JOÃO DE MERITI,COELHO DA ROCHA,milícia,3
SÃO GONÇALO,COELHO,facção,42
MARICÁ,CODEIRINHO,milícia,3
JAPERI,CITRÓPOLIS,facção,3
MAGÉ,CITROLÂNDIA,milícia,31
RIO DE JANEIRO,CIDADE UNIVERSITÁRIA,milícia,1
RIO DE JANEIRO,CIDADE NOVA,facção,4
NOVA IGUAÇU,CIDADE JARDIM PARQUE ESTORIL,facção,2
NOVA IGUAÇU,CIDADE JARDIM PARQUE ESTORIL,milícia,3
JAPERI,CIDADE JARDIM MARAJOARA,facção,4
GUAPIMIRIM,CIDADE JARDIM GUAPIMIRIM,facção,1
DUQUE DE CAXIAS,CIDADE DOS MENINOS,milícia,1
RIO DE JANEIRO,CIDADE DE DEUS,facção,45
RIO DE JANEIRO,CIDADE DE DEUS,milícia,1
MESQUITA,CHATUBA,facção,33
MESQUITA,CHATUBA,milícia,2
NITERÓI,CHARITAS,facção,31
NITERÓI,CHARITAS,milícia,2
ITAGUAÍ,CHAPERÓ,milícia,51
JAPERI,CHACRINHA,facção,5
JAPERI,CHACRINHA,milícia,1
DUQUE DE CAXIAS,CHÁCARAS RIO-PETRÓPOLIS,facção,8
DUQUE DE CAXIAS,CHÁCARAS RIO-PETRÓPOLIS,milícia,4
DUQUE DE CAXIAS,CHÁCARAS ARCAMPO,facção,9
DUQUE DE CAXIAS,CHÁCARAS ARCAMPO,milícia,2
BELFORD ROXO,CHÁCARA SANTO ANTÔNIO,facção,1
JAPERI,CHÁCARA PARAÍSO,facção,1
NOVA IGUAÇU,CERÂMICA,facção,4
NOVA IGUAÇU,CERÂMICA,milícia,8
ITABORAÍ,CENTRO (VISCONDE DE ITABORAÍ),facção,3
ITAGUAÍ,CENTRO (VISCONDE DE ITABORAÍ),milícia,3
ITABORAÍ,CENTRO (PORTO DAS CAIXAS),facção,1
ITABORAÍ,CENTRO (MANILHA),facção,5
ITABORAÍ,CENTRO (MANILHA),milícia,1
BELFORD ROXO,CENTRO,facção,3
BELFORD ROXO,CENTRO,milícia,8
DUQUE DE CAXIAS,CENTRO,facção,2
DUQUE DE CAXIAS,CENTRO,milícia,13
ITABORAÍ,CENTRO,facção,1
ITABORAÍ,CENTRO,milícia,1
ITAGUAÍ,CENTRO,milícia,13
JAPERI,CENTRO,facção,7
MARICÁ,CENTRO,milícia,1
MESQUITA,CENTRO,facção,8
MESQUITA,CENTRO,milícia,3
NILÓPOLIS,CENTRO,facção,5
NILÓPOLIS,CENTRO,milícia,5
NITERÓI,CENTRO,facção,8
NITERÓI,CENTRO,milícia,4
NOVA IGUAÇU,CENTRO,milícia,11
PARACAMBI,CENTRO,facção,1
QUEIMADOS,CENTRO,facção,4
QUEIMADOS,CENTRO,milícia,16
RIO BONITO,CENTRO,milícia,1
RIO DE JANEIRO,CENTRO,facção,18
RIO DE JANEIRO,CENTRO,milícia,20
SÃO GONÇALO,CENTRO,facção,9
SÃO GONÇALO,CENTRO,milícia,1
SÃO JOÃO DE MERITI,CENTRO,facção,33
SÃO JOÃO DE MERITI,CENTRO,milícia,6
SEROPÉDICA,CENTRO,milícia,14
RIO DE JANEIRO,CAVALCANTI,facção,31
RIO DE JANEIRO,CATUMBI,facção,8
RIO DE JANEIRO,CATETE,facção,1
RIO DE JANEIRO,CASCADURA,milícia,213
DUQUE DE CAXIAS,CAROLINA,milícia,2
NOVA IGUAÇU,CARMARY,facção,1
NOVA IGUAÇU,CARMARY,milícia,3
NITERÓI,CARAMUJO,facção,18
DUQUE DE CAXIAS,CAPIVARI,facção,4
DUQUE DE CAXIAS,CAPIVARI,milícia,1
NOVA IGUAÇU,CAONZE,facção,13
NOVA IGUAÇU,CAONZE,milícia,2
DUQUE DE CAXIAS,CANGULO,facção,3
DUQUE DE CAXIAS,CANGULO,milícia,2
DUQUE DE CAXIAS,CAMPOS ELÍSEOS,facção,14
DUQUE DE CAXIAS,CAMPOS ELÍSEOS,milícia,2
SEROPÉDICA,CAMPO LINDO,milícia,32
RIO DE JANEIRO,CAMPO GRANDE,facção,8
RIO DE JANEIRO,CAMPO GRANDE,milícia,510
QUEIMADOS,CAMPO ALEGRE,facção,1
QUEIMADOS,CAMPO ALEGRE,milícia,4
RIO DE JANEIRO,CAMPINHO,facção,1
RIO DE JANEIRO,CAMPINHO,milícia,26
RIO DE JANEIRO,CAMORIM,facção,1
RIO DE JANEIRO,CAMORIM,milícia,1
NOVA IGUAÇU,CAMARY,milícia,1
ITAGUAÍ,CALIFÓRNIA,milícia,1
NOVA IGUAÇU,CALIFÓRNIA,milícia,2
RIO DE JANEIRO,CAJU,facção,22
NOVA IGUAÇU,CACUIA,milícia,1
RIO DE JANEIRO,CACUIA,facção,2
RIO DE JANEIRO,CACUIA,milícia,1
RIO DE JANEIRO,CACHAMBI,facção,2
RIO DE JANEIRO,CACHAMBI,milícia,6
NILÓPOLIS,CABUIS,milícia,3
ITABORAÍ,CABUÇU,facção,3
NOVA IGUAÇU,CABUÇU,facção,2
NOVA IGUAÇU,CABUÇU,milícia,171
NILÓPOLIS,CABRAL,facção,6
ITAGUAÍ,BRISAMAR,facção,1
ITAGUAÍ,BRISA MAR,facção,25
ITAGUAÍ,BRISA MAR,milícia,3
RIO DE JANEIRO,BRÁS DE PINA,facção,5
RIO DE JANEIRO,BRÁS DE PINA,milícia,32
NOVA IGUAÇU,BOTAFOGO,facção,6
NOVA IGUAÇU,BOTAFOGO,milícia,1
RIO DE JANEIRO,BOTAFOGO,facção,4
RIO DE JANEIRO,BOTAFOGO,milícia,3
RIO DE JANEIRO,BONSUCESSO,facção,58
RIO DE JANEIRO,BONSUCESSO,milícia,14
SÃO GONÇALO,BOM RETIRO,facção,1
BELFORD ROXO,BOM PASTOR,facção,20
PARACAMBI,BOM JARDIM,facção,1
SÃO GONÇALO,BOAÇU,facção,140
SÃO GONÇALO,BOAÇU,milícia,1
CACHOEIRAS DE MACACU,BOA VISTA,facção,1
CACHOEIRAS DE MACACU,BOA VISTA,milícia,1
SÃO GONÇALO,BOA VISTA,facção,20
SÃO GONÇALO,BOA VISTA,milícia,2
BELFORD ROXO,BOA SORTE,facção,4
BELFORD ROXO,BOA SORTE,milícia,1
NOVA IGUAÇU,BOA ESPERANÇA,milícia,1
SEROPÉDICA,BOA ESPERANÇA,facção,1
SEROPÉDICA,BOA ESPERANÇA,milícia,20
MESQUITA,BNH,milícia,5
RIO DE JANEIRO,BENTO RIBEIRO,milícia,23
RIO DE JANEIRO,BENFICA,facção,21
RIO DE JANEIRO,BENFICA,milícia,4
NOVA IGUAÇU,BELTERRA,facção,1
NOVA IGUAÇU,BELTERRA,milícia,1
JAPERI,BELO HORIZONTE,facção,1
QUEIMADOS,BELMONTE,milícia,3
ITABORAÍ,BELA VISTA,facção,1
JAPERI,BEIRA RIO,facção,1
RIO DE JANEIRO,BARROS FILHO,facção,25
SÃO GONÇALO,BARRO VERMELHO,facção,13
SÃO GONÇALO,BARRO VERMELHO,milícia,1
DUQUE DE CAXIAS,BARRO BRANCO,facção,2
NITERÓI,BARRETO,facção,15
SÃO GONÇALO,BARRACÃO,facção,8
RIO DE JANEIRO,BARRA DA TIJUCA,facção,3
RIO DE JANEIRO,BARRA DA TIJUCA,milícia,49
NOVA IGUAÇU,BARÃO DE GUANDU,facção,1
NOVA IGUAÇU,BARÃO DE GUANDU,milícia,1
RIO DE JANEIRO,BANGU,facção,140
RIO DE JANEIRO,BANGU,milícia,110
MESQUITA,BANCO DE AREIA,facção,15
RIO DE JANEIRO,BANCÁRIOS,facção,1
NITERÓI,BADU,facção,11
NITERÓI,BADU,milícia,1
NOVA IGUAÇU,AUTÓDROMO,facção,2
NOVA IGUAÇU,AUTÓDROMO,milícia,2
NOVA IGUAÇU,AUSTIN,facção,4
NOVA IGUAÇU,AUSTIN,milícia,57
NITERÓI,ATALAIA,facção,2
SÃO GONÇALO,ARSENAL,facção,20
SÃO GONÇALO,ARRASTÃO,facção,4
BELFORD ROXO,AREIA BRANCA,facção,12
BELFORD ROXO,AREIA BRANCA,milícia,2
ITABORAÍ,AREAL,facção,1
MARICÁ,ARAÇATIBA,facção,3
ITABORAÍ,APOLO II,facção,4
ITABORAÍ,APOLO II,milícia,1
SÃO GONÇALO,ANTONINA,facção,6
NOVA IGUAÇU,ANDRADE DE ARAÚJO,milícia,1
BELFORD ROXO,ANDRADE ARAÚJO,facção,1
BELFORD ROXO,ANDRADE ARAÚJO,milícia,2
RIO DE JANEIRO,ANDARAÍ,facção,44
RIO DE JANEIRO,ANCHIETA,facção,108
SÃO GONÇALO,ANAIA PEQUENO,facção,3
ITABORAÍ,AMPLIAÇÃO,facção,13
SÃO GONÇALO,AMENDOEIRA,facção,8
SÃO GONÇALO,AMENDOEIRA,milícia,1
NOVA IGUAÇU,AMBAÍ,facção,7
NOVA IGUAÇU,AMBAÍ,milícia,2
DUQUE DE CAXIAS,AMAPÁ,milícia,4
MESQUITA,ALTO URUGUAI,facção,8
RIO DE JANEIRO,ALTO DA BOA VISTA,facção,4
SÃO GONÇALO,ALMERINDA,facção,27
QUEIMADOS,ALIANÇA,facção,9
QUEIMADOS,ALIANÇA,milícia,2
JAPERI,ALECRIM,facção,1
JAPERI,ALECRIM,milícia,1
SÃO GONÇALO,ALCÂNTARA,facção,36
SÃO GONÇALO,ALCÂNTARA,milícia,5
RIO DE JANEIRO,ÁGUA SANTA,facção,3
RIO DE JANEIRO,ÁGUA SANTA,milícia,1
SÃO JOÃO DE MERITI,AGOSTINHO PORTO,facção,2
NOVA IGUAÇU,ADRIANÓPOLIS,milícia,2